Type,Subtype,Diameter (ft),Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom,Rings,
Flat Bottom,Wide Core,36,E4-036051,"46,766","1,235","1,121",51'6”,15.69,61'5”,18.71,10.97279965,28.83067497,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036055,"49,908","1,318","1,196",55'2”,16.81,65'0”,19.81,10.97279965,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036062,"56,191","1,484","1,347",62'6”,19.05,72'5”,22.07,10.97279965,28.83067497,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036066,"59,333","1,567","1,422",66'2”,20.16,76'0”,23.16,10.97279965,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036070,"62,475","1,650","1,497",69'10”,21.28,79'8”,24.29,10.97279965,28.75046546,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036073,"65,617","1,733","1,572",73'6”,22.4,83'5”,25.42,10.97279965,28.83067497,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036077,"68,758","1,816","1,648",77'2”,23.52,87'0”,26.52,10.97279965,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036081,"71,900","1,899","1,723",80'10”,24.63,90'8”,27.65,10.97279965,28.83067497,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036084,"75,042","1,982","1,798",84'6”,25.75,94'5”,28.77,10.97279965,28.83067497,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036088,"78,183","2,065","1,874",88'2”,26.87,98'0”,29.87,10.97279965,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042022,"30,066",794,721,22'2”,6.75,33'10”,10.3,12.80159959,29.01354747,Wide,Flat,6,
Flat Bottom,Wide Core,42,E4-042029,"38,620","1,020",925,29'6”,8.99,41'2”,12.56,12.80159959,29.15027847,Wide,Flat,8,
Flat Bottom,Wide Core,42,E4-042033,"42,897","1,133","1,028",33'2”,10.11,44'10”,13.66,12.80159959,29.01354747,Wide,Flat,9,
Flat Bottom,Wide Core,42,E4-042040,"51,451","1,359","1,233",40'6”,12.34,52'2”,15.91,12.80159959,29.15027847,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042044,"55,728","1,472","1,335",44'2”,13.46,55'10”,17.01,12.80159959,29.01354747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042051,"64,282","1,698","1,540",51'6”,15.69,63'2”,19.26,12.80159959,29.15027847,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042055,"68,559","1,811","1,643",55'2”,16.81,66'10”,20.36,12.80159959,29.01354747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042062,"77,113","2,037","1,848",62'6”,19.05,74'2”,22.62,12.80159959,29.15027847,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042066,"81,390","2,150","1,950",66'2”,20.16,77'10”,23.71,12.80159959,29.01354747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042070,"85,667","2,263","2,053",69'10”,21.28,81'6”,24.84,12.80159959,29.08195834,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042073,"89,944","2,376","2,155",73'6”,22.4,85'2”,25.97,12.80159959,29.15027847,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042077,"94,221","2,489","2,258",77'2”,23.52,88'10”,27.07,12.80159959,29.01354747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042081,"98,498","2,602","2,360",80'10”,24.63,92'6”,28.19,12.80159959,29.08195834,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042084,"102,775","2,715","2,463",84'6”,25.75,96'2”,29.32,12.80159959,29.15027847,Wide,Flat,#N/A,
Flat Bottom,Wide Core,42,E4-042088,"107,052","2,828","2,565",88'2”,26.87,99'10”,30.42,12.80159959,29.01354747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048022,"40,081","1,059",960,22'2”,6.75,34'6”,10.52,14.63039953,27.26500684,Wide,Flat,6,
Flat Bottom,Wide Core,48,E4-048029,"51,255","1,354","1,228",29'6”,8.99,41'10”,12.74,14.63039953,27.14109506,Wide,Flat,8,
Flat Bottom,Wide Core,48,E4-048033,"56,842","1,502","1,362",33'2”,10.11,45'6”,13.87,14.63039953,27.20308539,Wide,Flat,9,
Flat Bottom,Wide Core,48,E4-048040,"68,016","1,797","1,630",40'6”,12.34,52'10”,16.09,14.63039953,27.14109506,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048044,"73,603","1,944","1,764",44'2”,13.46,56'6”,17.22,14.63039953,27.20308539,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048051,"84,777","2,239","2,032",51'6”,15.69,63'10”,19.45,14.63039953,27.20308539,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048055,"90,364","2,387","2,165",55'2”,16.81,67'6”,20.57,14.63039953,27.20308539,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048062,"101,538","2,682","2,433",62'6”,19.05,74'10”,22.8,14.63039953,27.14109506,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048066,"107,125","2,830","2,567",66'2”,20.16,78'6”,23.93,14.63039953,27.26500684,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048073,"118,299","3,125","2,835",73'6”,22.4,85'10”,26.15,14.63039953,27.14109506,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048077,"123,886","3,272","2,969",77'2”,23.52,89'6”,27.28,14.63039953,27.20308539,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048084,"135,060","3,568","3,237",84'6”,25.75,96'10”,29.5,14.63039953,27.14109506,Wide,Flat,#N/A,
Flat Bottom,Wide Core,48,E4-048088,"140,647","3,715","3,370",88'2”,26.87,100'6”,30.63,14.63039953,27.20308539,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054022,"51,751","1,367","1,240",22'2”,6.75,36'2”,11.03,16.45919947,27.47776429,Wide,Flat,6,
Flat Bottom,Wide Core,54,E4-054029,"65,894","1,741","1,579",29'6”,8.99,43'6”,13.26,16.45919947,27.42293747,Wide,Flat,8,
Flat Bottom,Wide Core,54,E4-054033,"72,966","1,927","1,749",33'2”,10.11,47'2”,14.39,16.45919947,27.47776429,Wide,Flat,9,
Flat Bottom,Wide Core,54,E4-054040,"87,109","2,301","2,087",40'6”,12.34,54'6”,16.61,16.45919947,27.42293747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054044,"94,180","2,488","2,257",44'2”,13.46,58'2”,17.74,16.45919947,27.47776429,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054051,"108,323","2,861","2,596",51'6”,15.69,65'6”,19.96,16.45919947,27.42293747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054055,"115,395","3,048","2,765",55'2”,16.81,69'2”,21.09,16.45919947,27.47776429,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054062,"129,538","3,422","3,104",62'6”,19.05,76'6”,23.32,16.45919947,27.42293747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054066,"136,609","3,609","3,274",66'2”,20.16,80'2”,24.44,16.45919947,27.47776429,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054073,"150,752","3,982","3,613",73'6”,22.4,87'6”,26.67,16.45919947,27.42293747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054077,"157,824","4,169","3,782",77'2”,23.52,91'2”,27.8,16.45919947,27.47776429,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054084,"171,967","4,543","4,121",84'6”,25.75,98'6”,30.02,16.45919947,27.42293747,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054088,"179,038","4,729","4,290",88'2”,26.87,102'2”,31.15,16.45919947,27.47776429,Wide,Flat,#N/A,
Flat Bottom,Wide Core,54,E4-054092,"186,110","4,916","4,460",91'10”,27.99,105'10”,32.25,16.45919947,27.36805614,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060026,"73,886","1,952","1,771",25'10”,7.87,41'4”,12.59,18.28799941,27.30212664,Wide,Flat,7,
Flat Bottom,Wide Core,60,E4-060033,"91,348","2,413","2,189",33'2”,10.11,48'7”,14.81,18.28799941,27.20308539,Wide,Flat,9,
Flat Bottom,Wide Core,60,E4-060037,"100,079","2,644","2,398",36'10”,11.22,52'4”,15.94,18.28799941,27.30212664,Wide,Flat,10,
Flat Bottom,Wide Core,60,E4-060044,"117,541","3,105","2,817",44'2”,13.46,59'7”,18.17,18.28799941,27.25262806,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060048,"126,272","3,336","3,026",47'10”,14.58,63'4”,19.29,18.28799941,27.25262806,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060055,"143,734","3,797","3,444",55'2”,16.81,70'7”,21.52,18.28799941,27.25262806,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060059,"152,465","4,027","3,654",58'10”,17.93,74'4”,22.65,18.28799941,27.30212664,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060066,"169,927","4,489","4,072",66'2”,20.16,81'7”,24.87,18.28799941,27.25262806,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060070,"178,658","4,719","4,281",69'10”,21.28,85'4”,26,18.28799941,27.30212664,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060077,"196,120","5,181","4,700",77'2”,23.52,92'7”,28.22,18.28799941,27.20308539,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060081,"204,851","5,411","4,909",80'10”,24.63,96'4”,29.35,18.28799941,27.30212664,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060084,"213,582","5,642","5,118",84'6”,25.75,99'11”,30.45,18.28799941,27.20308539,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060088,"222,313","5,872","5,327",88'2”,26.87,103'7”,31.58,18.28799941,27.25262806,Wide,Flat,#N/A,
Flat Bottom,Wide Core,60,E4-060092,"231,044","6,103","5,537",91'10”,27.99,107'4”,32.71,18.28799941,27.30212664,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072029,"122,611","3,239","2,938",29'6”,8.99,48'5”,14.75,21.9455993,27.69652625,Wide,Flat,8,
Flat Bottom,Wide Core,72,E4-072037,"147,759","3,903","3,541",36'10”,11.22,55'8”,16.98,21.9455993,27.69652625,Wide,Flat,10,
Flat Bottom,Wide Core,72,E4-072040,"160,334","4,235","3,842",40'6”,12.34,59'5”,18.11,21.9455993,27.73744691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072048,"185,482","4,900","4,445",47'10”,14.58,66'8”,20.33,21.9455993,27.65557488,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072051,"198,056","5,232","4,746",51'6”,15.69,70'5”,21.46,21.9455993,27.73744691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072059,"223,205","5,896","5,349",58'10”,17.93,77'8”,23.68,21.9455993,27.65557488,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072062,"235,779","6,228","5,650",62'6”,19.05,81'5”,24.81,21.9455993,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072070,"260,927","6,892","6,253",69'10”,21.28,88'8”,27.04,21.9455993,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072073,"273,501","7,225","6,554",73'6”,22.4,92'5”,28.16,21.9455993,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072077,"286,075","7,557","6,855",77'2”,23.52,96'1”,29.29,21.9455993,27.73744691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072081,"298,650","7,889","7,157",80'10”,24.63,99'8”,30.39,21.9455993,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072084,"311,224","8,221","7,458",84'6”,25.75,103'5”,31.52,21.9455993,27.73744691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,72,E4-072088,"323,798","8,553","7,759",88'2”,26.87,107'1”,32.64,21.9455993,27.73744691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075029,"134,029","3,540","3,212",29'6”,8.99,48'7”,14.81,22.85999927,26.98457419,Wide,Flat,8,
Flat Bottom,Wide Core,75,E4-075037,"161,317","4,261","3,866",36'10”,11.22,55'11”,17.04,22.85999927,26.98457419,Wide,Flat,10,
Flat Bottom,Wide Core,75,E4-075040,"174,962","4,622","4,193",40'6”,12.34,59'7”,18.17,22.85999927,27.02436691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075048,"202,250","5,343","4,847",47'10”,14.58,66'11”,20.39,22.85999927,26.9447533,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075051,"215,894","5,703","5,174",51'6”,15.69,70'7”,21.52,22.85999927,27.02436691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075059,"243,183","6,424","5,828",58'10”,17.93,77'11”,23.74,22.85999927,26.9447533,Wide,Flat,#N/A,
Flat Bottom,Wide Core,75,E4-075062,"256,827","6,784","6,155",62'6”,19.05,81'7”,24.87,22.85999927,26.98457419,Wide,Flat,#N/A,
