Type,Subtype,Diameter (ft),Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom,Rings,
Flat Bottom,Narrow Core,60,E-06038,"254,027","6,710","6,087","101'6""",30.94,"116'11""",35.63,18.28799941,27.15349863,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,60,E-06039,"260,376","6,878","6,240","104'2""",31.76,"119'7""",36.45,18.28799941,27.15349863,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,60,E-06040,"266,725","7,046","6,392","106'10""",32.55,"122'4""",37.28,18.28799941,27.35158112,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07208,"95,151","2,513","2,280","21'6""",6.55,"40'5""",12.31,21.9455993,27.69652625,Narrow,Flat,8,
Flat Bottom,Narrow Core,72,E-07211,"122,584","3,238","2,938","29'6""",8.99,"48'5""",14.75,21.9455993,27.69652625,Narrow,Flat,11,
Flat Bottom,Narrow Core,72,E-07214,"150,016","3,963","3,595","37'6""",11.43,"56'5""",17.19,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07217,"177,449","4,687","4,252","45'6""",13.87,"64'5""",19.63,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07220,"204,882","5,412","4,910","53'6""",16.31,"72'5""",22.07,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07223,"232,314","6,137","5,567","61'6""",18.75,"80'5""",24.51,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07226,"259,747","6,861","6,225","69'6""",21.18,"88'5""",26.94,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07229,"287,179","7,586","6,882","77'6""",23.62,"96'5""",29.38,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07232,"314,612","8,311","7,539","85'6""",26.06,"104'5""",31.82,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07235,"342,045","9,035","8,197","93'6""",28.5,"112'5""",34.26,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07238,"369,477","9,760","8,854","101'6""",30.94,"120'5""",36.7,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07239,"378,622","10,001","9,073","104'2""",31.76,"123'1""",37.52,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,72,E-07240,"387,766","10,243","9,292","106'10""",32.55,"125'8""",38.31,21.9455993,27.69652625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07509,"114,155","3,015","2,736","24'2""",7.38,"43'2""",13.17,22.85999927,26.86502708,Narrow,Flat,9,
Flat Bottom,Narrow Core,75,E-07512,"143,922","3,802","3,449","32'2""",9.81,"51'2""",15.61,22.85999927,26.90490426,Narrow,Flat,12,
Flat Bottom,Narrow Core,75,E-07515,"173,689","4,588","4,162","40'2""",12.25,"59'2""",18.04,22.85999927,26.86502708,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07518,"203,456","5,374","4,876","48'2""",14.69,"67'2""",20.48,22.85999927,26.86502708,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07521,"233,223","6,161","5,589","56'2""",17.13,"75'2""",22.92,22.85999927,26.86502708,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07524,"262,990","6,947","6,302","64'2""",19.57,"83'2""",25.36,22.85999927,26.86502708,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07527,"292,758","7,733","7,016","72'2""",22.01,"91'2""",27.8,22.85999927,26.86502708,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07530,"322,525","8,520","7,729","80'2""",24.44,"99'2""",30.24,22.85999927,26.90490426,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07532,"342,369","9,044","8,204","85'6""",26.06,"104'7""",31.88,22.85999927,26.98457419,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07534,"362,214","9,568","8,680","90'10""",27.68,"109'11""",33.5,22.85999927,26.98457419,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07536,"382,059","10,092","9,156","96'2""",29.32,"115'2""",35.11,22.85999927,26.86502708,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07538,"401,904","10,616","9,631","101'6""",30.94,"120'7""",36.76,22.85999927,26.98457419,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07539,"411,826","10,879","9,869","104'2""",31.76,"123'2""",37.55,22.85999927,26.86502708,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,75,E-07540,"421,749","11,141","10,107","106'10""",32.55,"125'11""",38.37,22.85999927,26.98457419,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07810,"135,270","3,573","3,242","26'10""",8.17,"46'10""",14.26,23.77439924,27.12677982,Narrow,Flat,10,
Flat Bottom,Narrow Core,78,E-07813,"167,467","4,424","4,013","34'10""",10.61,"54'10""",16.7,23.77439924,27.12677982,Narrow,Flat,13,
Flat Bottom,Narrow Core,78,E-07816,"199,664","5,274","4,785","42'10""",13.05,"62'10""",19.14,23.77439924,27.12677982,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07819,"231,860","6,125","5,556","50'10""",15.48,"70'10""",21.58,23.77439924,27.16494564,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07822,"264,057","6,975","6,328","58'10""",17.92,"78'10""",24.02,23.77439924,27.16494564,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07825,"296,254","7,826","7,099","66'10""",20.36,"86'10""",26.46,23.77439924,27.16494564,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07828,"328,451","8,676","7,871","74'10""",22.8,"94'10""",28.9,23.77439924,27.16494564,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07831,"360,648","9,527","8,643","82'10""",25.24,"102'10""",31.33,23.77439924,27.12677982,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07834,"392,845","10,377","9,414","90'10""",27.68,"110'10""",33.77,23.77439924,27.12677982,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07835,"403,578","10,661","9,671","93'6""",28.5,"113'5""",34.56,23.77439924,27.01212599,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07836,"414,310","10,944","9,928","96'2""",29.32,"116'1""",35.39,23.77439924,27.05036999,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07838,"435,775","11,511","10,443","101'6""",30.94,"121'5""",37,23.77439924,27.01212599,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07839,"446,507","11,795","10,700","104'2""",31.76,"124'1""",37.83,23.77439924,27.05036999,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,78,E-07840,"457,239","12,078","10,957","106'10""",32.55,"126'10""",38.65,23.77439924,27.16494564,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09011,"200,066","5,285","4,794","29'6""",8.99,"52'11""",16.12,27.43199912,27.46680329,Narrow,Flat,11,
Flat Bottom,Narrow Core,90,E-09014,"242,936","6,417","5,822","37'6""",11.43,"60'11""",18.56,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09017,"285,805","7,550","6,849","45'6""",13.87,"68'11""",21,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09020,"328,675","8,682","7,876","53'6""",16.31,"76'11""",23.44,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09023,"371,544","9,814","8,904","61'6""",18.75,"84'11""",25.88,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09025,"400,124","10,569","9,589","66'10""",20.36,"90'2""",27.49,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09027,"428,704","11,324","10,273","72'2""",22.01,"95'6""",29.11,27.43199912,27.36805614,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09029,"457,283","12,079","10,958","77'6""",23.62,"100'11""",30.75,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09031,"485,863","12,834","11,643","82'10""",25.24,"106'2""",32.37,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09033,"514,443","13,589","12,328","88'2""",26.88,"111'6""",33.99,27.43199912,27.40099147,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09035,"543,022","14,344","13,013","93'6""",28.5,"116'11""",35.63,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09037,"571,602","15,099","13,698","98'10""",30.11,"122'2""",37.25,27.43199912,27.49967976,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09038,"585,892","15,477","14,040","101'6""",30.94,"124'11""",38.07,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09039,"600,182","15,854","14,383","104'2""",31.76,"127'6""",38.86,27.43199912,27.36805614,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,90,E-09040,"614,471","16,231","14,725","106'10""",32.55,"130'2""",39.68,27.43199912,27.46680329,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10512,"301,431","7,962","7,223","32'2""",9.81,"59'11""",18.26,32.00399898,27.83669779,Narrow,Flat,12,
Flat Bottom,Narrow Core,105,E-10515,"359,786","9,504","8,622","40'2""",12.25,"67'11""",20.7,32.00399898,27.83669779,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10518,"418,141","11,045","10,020","48'2""",14.69,"75'11""",23.13,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10521,"476,495","12,587","11,419","56'2""",17.13,"83'11""",25.57,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10524,"534,850","14,128","12,817","64'2""",19.57,"91'11""",28.01,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10526,"573,753","15,156","13,749","69'6""",21.18,"97'2""",29.63,32.00399898,27.83669779,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10528,"612,657","16,184","14,682","74'10""",22.8,"102'6""",31.24,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10530,"651,560","17,211","15,614","80'2""",24.44,"107'11""",32.89,32.00399898,27.83669779,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10532,"690,463","18,239","16,546","85'6""",26.06,"113'2""",34.5,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10534,"729,366","19,266","17,478","90'10""",27.68,"118'6""",36.12,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10536,"768,269","20,294","18,411","96'2""",29.32,"123'11""",37.76,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10537,"787,721","20,808","18,877","98'10""",30.11,"126'6""",38.56,32.00399898,27.83669779,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10538,"807,173","21,322","19,343","101'6""",30.94,"129'2""",39.38,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10539,"826,624","21,836","19,809","104'2""",31.76,"131'11""",40.2,32.00399898,27.80869237,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,105,E-10540,"846,076","22,349","20,275","106'10""",32.55,"134'6""",41,32.00399898,27.83669779,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13218,"688,033","18,175","16,488","48'2""",14.69,"83'11""",25.57,40.23359871,28.4063625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13220,"749,498","19,798","17,961","53'6""",16.31,"89'4""",27.22,40.23359871,28.47242882,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13221,"780,230","20,610","18,697","56'2""",17.13,"91'11""",28.01,40.23359871,28.4063625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13223,"841,694","22,234","20,170","61'6""",18.75,"97'4""",29.66,40.23359871,28.47242882,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13224,"872,426","23,045","20,907","64'2""",19.57,"99'11""",30.45,40.23359871,28.4063625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13226,"933,890","24,669","22,380","69'6""",21.18,"105'4""",32.1,40.23359871,28.49443259,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13227,"964,622","25,481","23,116","72'2""",22.01,"107'11""",32.89,40.23359871,28.4063625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13228,"995,355","26,293","23,853","74'10""",22.8,"110'7""",33.71,40.23359871,28.47242882,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13229,"1,026,087","27,104","24,589","77'6""",23.62,"113'4""",34.53,40.23359871,28.47242882,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13230,"1,056,819","27,916","25,325","80'2""",24.44,"115'11""",35.33,40.23359871,28.42839377,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13231,"1,087,551","28,728","26,062","82'10""",25.24,"118'7""",36.15,40.23359871,28.47242882,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13232,"1,118,283","29,540","26,798","85'6""",26.06,"121'4""",36.97,40.23359871,28.47242882,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13233,"1,149,015","30,352","27,535","88'2""",26.88,"123'11""",37.76,40.23359871,28.4063625,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13234,"1,179,747","31,163","28,271","90'10""",27.68,"126'7""",38.59,40.23359871,28.47242882,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13235,"1,210,479","31,975","29,008","93'6""",28.5,"129'4""",39.41,40.23359871,28.47242882,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,132,E-13236,"1,241,211","32,787","29,744","96'2""",29.32,"131'11""",40.21,40.23359871,28.42839377,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,156,E-15618,"995,146","26,287","23,848","48'2""",14.69,"90'10""",27.68,47.54879848,28.65157667,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,156,E-15620,"1,081,003","28,555","25,905","53'6""",16.31,"96'2""",29.32,47.54879848,28.68868186,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,156,E-15621,"1,123,931","29,689","26,934","56'2""",17.13,"98'10""",30.11,47.54879848,28.63301421,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,156,E-15622,"1,166,860","30,823","27,962","58'10""",17.92,"101'6""",30.94,47.54879848,28.70722461,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,156,E-15623,"1,209,788","31,957","28,991","61'6""",18.75,"104'2""",31.76,47.54879848,28.68868186,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,156,E-15624,"1,252,717","33,091","30,020","64'2""",19.57,"106'10""",32.55,47.54879848,28.63301421,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,156,E-15625,"1,295,646","34,225","31,049","66'10""",20.36,"109'6""",33.38,47.54879848,28.70722461,Narrow,Flat,#N/A,
Flat Bottom,Narrow Core,156,M-15626,"1,338,574","35,359","32,077","69'6""",21.18,"112'2""",34.2,47.54879848,28.70722461,Narrow,Flat,#N/A,
Hopper Bottom,60°,15,EH-15006,"3,146",83,75,30'1”,9.18,34'0”,10.36,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15007,"3,542",94,85,32'9”,9.99,36'8”,11.17,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15008,"3,938",104,94,35'5”,10.8,39'4”,11.98,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15009,"4,334",114,104,38'1”,11.62,42'0”,12.79,4.571999854,27.10386782,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15010,"4,730",125,113,40'9”,12.43,44'8”,13.61,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15011,"5,126",135,123,43'5”,13.24,47'4”,14.42,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15012,"5,522",146,132,46'1”,14.05,50'0”,15.23,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15013,"5,918",156,142,48'9”,14.87,52'8”,16.05,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15014,"6,314",167,151,51'5”,15.68,55'4”,16.86,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15015,"6,710",177,161,54'1”,16.49,58'0”,17.67,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15016,"7,106",188,170,56'9”,17.31,60'8”,18.48,4.571999854,27.10386782,Narrow,Hopper,#N/A,
Hopper Bottom,60°,15,EH-15017,"7,502",198,180,59'5”,18.12,63'4”,19.3,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18006,"4,751",126,114,32'9”,9.99,37'6”,11.43,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18007,"5,322",221,200,35'5”,10.8,40'2”,12.24,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18008,"5,893",156,141,38'1”,11.62,42'10”,13.06,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18009,"6,463",171,155,40'9”,12.43,45'6”,13.87,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18010,"7,034",186,169,43'5”,13.24,48'2”,14.68,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18011,"7,604",201,182,46'1”,14.06,50'10”,15.49,5.486399824,27.5325366,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18012,"8,175",216,196,48'9”,14.87,53'6”,16.31,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18013,"8,746",231,210,51'5”,15.68,56'2”,17.12,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18014,"9,316",246,223,54'1”,16.49,58'10”,17.93,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18015,"9,887",261,237,56'9”,17.31,61'6”,18.75,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18016,"10,457",276,251,59'5”,18.12,64'2”,19.56,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18017,"11,028",291,264,62'1”,18.93,66'10”,20.37,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18018,"11,599",306,278,64'9”,19.74,69'6”,21.18,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18019,"12,169",321,292,67'5”,20.56,72'2”,22,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18020,"12,740",337,305,70'1”,21.37,74'10”,22.81,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,18,EH-18021,"13,310",352,319,72'9”,22.18,77'6”,23.62,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21006,"6,815",180,163,35'4”,10.77,40'11”,12.47,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21007,"7,592",201,182,38'0”,11.58,43'7”,13.28,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21008,"8,369",221,201,40'8”,12.39,46'3”,14.09,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21009,"9,146",242,219,43'4”,13.2,48'11”,14.91,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21010,"9,923",262,238,46'0”,14.02,51'7”,15.72,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21011,"10,700",283,256,48'8”,14.83,54'3”,16.53,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21012,"11,477",303,275,51'4”,15.64,56'11”,17.34,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21013,"12,254",324,294,54'0”,16.46,59'7”,18.16,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21014,"13,030",344,312,56'8”,17.27,62'3”,18.97,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21015,"13,807",365,331,59'4”,18.08,64'11”,19.78,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21016,"14,584",385,349,62'0”,18.89,67'7”,20.6,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21017,"15,361",406,368,64'8”,19.71,70'3”,21.41,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21018,"16,138",426,387,67'4”,20.52,72'11”,22.22,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21019,"16,915",447,405,70'0”,21.33,75'7”,23.03,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21020,"17,692",467,424,72'8”,22.14,78'3”,23.85,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21021,"18,469",488,443,75'4”,22.96,80'11”,24.66,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,60°,21,EH-21022,"19,246",508,461,78'0”,23.77,83'7”,25.47,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15306,"2,909",77,70,25'6”,7.77,29'4”,8.95,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15307,"3,305",87,79,28'2”,8.58,32'0”,9.76,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15308,"3,701",98,89,30'10”,9.4,34'8”,10.57,4.571999854,27.10386782,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15309,"4,097",108,98,33'6”,10.21,37'4”,11.39,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15310,"4,493",119,108,36'2”,11.02,40'0”,12.2,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15311,"4,889",129,117,38'10”,11.84,42'8”,13.01,4.571999854,27.10386782,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15312,"5,285",140,127,41'6”,12.65,45'4”,13.83,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15313,"5,681",150,136,44'2”,13.46,48'0”,14.64,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15314,"6,077",161,146,46'10”,14.27,50'8”,15.45,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15315,"6,473",171,155,49'6”,15.09,53'4”,16.26,4.571999854,27.10386782,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15316,"6,869",181,165,52'2”,15.9,56'0”,17.08,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15317,"7,265",192,174,54'10”,16.71,58'8”,17.89,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15318,"7,661",202,184,57'6”,17.52,61'4”,18.7,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,15,EH-15319,"8,057",213,193,60'2”,18.34,64'0”,19.52,4.571999854,27.30212664,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18306,"4,362",115,105,27'1”,8.24,31'9”,9.68,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18307,"4,933",130,118,29'9”,9.06,34'5”,10.5,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18308,"5,504",145,132,32'5”,9.87,37'1”,11.31,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18309,"6,074",160,146,35'1”,10.68,39'9”,12.12,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18310,"6,645",176,159,37'9”,11.49,42'5”,12.93,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18311,"7,215",191,173,40'5”,12.31,45'1”,13.75,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18312,"7,786",206,187,43'1”,13.12,47'9”,14.56,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18313,"8,357",221,200,45'9”,13.93,50'5”,15.37,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18314,"8,927",236,214,48'5”,14.75,53'1”,16.19,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18315,"9,498",251,228,51'1”,15.56,55'9”,17,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18316,"10,068",266,241,53'9”,16.37,58'5”,17.81,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18317,"10,639",281,255,56'5”,17.18,61'1”,18.62,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18318,"11,210",296,269,59'1”,18,63'9”,19.44,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18319,"11,780",311,282,61'9”,18.81,66'5”,20.25,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18320,"12,351",326,296,64'5”,19.62,69'1”,21.06,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18321,"12,921",341,310,67'1”,20.44,71'9”,21.88,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,18,EH-18322,"13,492",356,323,69'9”,21.25,74'5”,22.69,5.486399824,27.69652625,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21306,"6,140",162,147,28'7”,8.71,34'2”,10.41,6.400799795,27.9765081,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21307,"6,917",183,166,31'3”,9.52,36'10”,11.23,6.400799795,28.11595691,Narrow,Hopper,#N/A,
Hopper Bottom,45°,21,EH-21308,"7,693",203,184,33'11”,10.34,39'6”,12.04,6.400799795,27.9765081,Narrow,Hopper,#N/A,
